sku,nombre,status,stock_total,reorder_point,qty_to_reorder,velocidad,prediccion_prophet,disponibilidad_galerias,disponibilidad_millennium,cantidad_en_transito
10012,UNI-T UT-C01 PUNTAS DE GANCHO (THROUGH-HOLE),OPTIMO,6.00,3.31,0.00,0.03,3.62,4.00,2.00,0
10005,UNI-T UT-C01 PUNTAS DE GANCHO (ROSCADA),OPTIMO,6.00,3.34,0.00,0.03,3.68,6.00,0.00,0
10077,HIKMICRO LH35 2.0 Monocular termico,SOBRESTOCK,1.00,0.19,0.00,0.00,0.37,1.00,0.00,0
10076,HIKMICRO LE15S Monocular termico,CRITICO,0.00,0.81,0.81,0.00,1.62,0.00,0.00,0
10067,HIKMICRO B21LS Camara termica profesional SUPERIR,REORDER,1.00,13.77,12.77,0.10,15.53,1.00,0.00,0
10046,HIKMICRO CONDOR LRF CH35L,CRITICO,0.00,0.40,0.40,0.00,0.79,0.00,0.00,0
10066,UNI-T Adaptadores para serie Fibra optica,CRITICO,0.00,0.29,0.29,0.00,0.58,0.00,0.00,0
10065,UNI-T UT691-10 VFL 10KM,SOBRESTOCK,1.00,0.14,0.00,0.00,0.29,1.00,0.00,0
10064,ZIBOO 69028 TERMOCUPLA,SOBRESTOCK,8.00,1.04,0.00,0.01,1.07,8.00,0.00,0
10056,UNI-T UT12M Detector de voltaje sin contacto - Bobinas - IP67,SOBRESTOCK,104.00,16.63,0.00,0.10,21.25,98.00,6.00,0
10039,UNI-T UT17B Max Multímetro Profesional,SOBRESTOCK,3.00,0.45,0.00,0.00,0.90,2.00,1.00,0
10037,UNI-T UT256  Pinza Amperimetrica de horquillas,CRITICO,0.00,0.15,0.15,0.00,0.30,0.00,0.00,0
10026,UNI-T UT603 Medidor LCR,SOBRESTOCK,17.00,1.42,0.00,0.01,1.83,16.00,1.00,0
10023,UNI-T UT281E+  Pinza amperimetrica flexible 10kA AC,SOBRESTOCK,5.00,0.22,0.00,0.00,0.45,5.00,0.00,0
10004,UNI-T UT-CS07 Sonda Amperimétrica 1000A AC/DC,OPTIMO,1.00,0.83,0.00,0.01,0.65,1.00,0.00,0
10022,UNI-T Z003 Lente Macro UTi730E,SOBRESTOCK,1.00,0.16,0.00,0.00,0.32,1.00,0.00,0
10021,HIKMICRO AD21P Inteligente -  Buscador de Fugas en tuberias,SOBRESTOCK,6.00,1.97,0.00,0.02,1.94,5.00,1.00,0
10020,HIKMICRO MINI X Modulo termico Profesional con enfoque Manual,SOBRESTOCK,19.00,0.99,0.00,0.01,0.99,18.00,1.00,0
10014,HIKMICRO MINI E Modulo termico IOS/Android,SOBRESTOCK,25.00,1.55,0.00,0.01,2.09,24.00,1.00,0
10003,RV ES9070 MEDIDOR DE ALTO VOLTAJE INALAMBRICO,CRITICO,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0
10164,UNI-T UT305C+ Termometro para altas temperaturas 2200C,CRITICO,0.00,3.00,3.00,0.03,2.99,0.00,0.00,0
10162,UNI-T UT281E  Pinza amperimetrica flexible 3000A AC,REORDER,1.00,1.33,0.33,0.01,1.66,1.00,0.00,0
10101,HIKMICRO LC06S cámara termografica,SOBRESTOCK,2.00,0.15,0.00,0.00,0.30,1.00,1.00,0
10099,HIKMICRO M31 Camara Termografica Profesional,CRITICO,0.00,1.79,1.79,0.02,1.59,0.00,0.00,0
10091,UNI-T UT387LM Escar de pared con medidor de distancia laser,CRITICO,0.00,0.43,0.43,0.00,0.86,0.00,0.00,0
10081,JCD  Pro Estación de Calor 2 en 1 8898,CRITICO,0.00,20.99,20.99,0.16,22.98,0.00,0.00,0
10062,UNI-T UTD1025DL Osciloscopio Portatil de 25Mhz,SOBRESTOCK,1.00,0.25,0.00,0.00,0.50,1.00,0.00,0
10048,UNI-T UTD1050DL Osciloscopio Portatil de 50Mhz,SOBRESTOCK,1.00,0.15,0.00,0.00,0.31,1.00,0.00,0
10041,Servicio de inspección acústica,CRITICO,0.00,0.14,0.14,0.00,0.28,0.00,0.00,0
10027,Servicio de inspección termográfica,CRITICO,0.00,0.14,0.14,0.00,0.28,0.00,0.00,0
10015,ZIBOO Forro estuche pinza amperimetrica,CRITICO,0.00,0.88,0.88,0.01,0.77,0.00,0.00,0
10009,UNI-T UT659D PROBADOR DE TIRAS LED,REORDER,2.00,2.22,0.22,0.02,2.44,0.00,2.00,0
10008,UNI-T Puntas para el area automotriz de 20A puntiagudas,SOBRESTOCK,37.00,7.40,0.00,0.04,9.80,33.00,4.00,0
10408,UNI-T UT673A Battery Tester,SOBRESTOCK,87.00,3.24,0.00,0.03,3.49,86.00,1.00,0
10407,UNI-T UT222 Pinza Amperimétrica 2500A,SOBRESTOCK,12.00,0.39,0.00,0.00,0.77,11.00,1.00,0
10406,JCD Estuche Rígido Pinza,CRITICO,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0
10405,UNI-T UT685B KIT TDR,SOBRESTOCK,17.00,2.56,0.00,0.03,2.12,15.00,2.00,0
10398,UNI-T UTL8212+ Carga electrónica,SOBRESTOCK,1.00,0.27,0.00,0.00,0.55,1.00,0.00,0
10397,UNI-T Lente Macro UTi120S,SOBRESTOCK,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0
10391,UNI-T UT-C07 Puntas de prueba tipo gancho - entrada banana,SOBRESTOCK,13.00,1.88,0.00,0.02,1.76,12.00,1.00,0
10390,UNI-T UT330THC USB Datalogger,OPTIMO,14.00,5.05,0.00,0.03,6.10,12.00,2.00,0
10389,UNI-T UT513C Megohmetro de 5kV Avanzado,CRITICO,-1.00,5.72,6.72,0.05,5.44,-1.00,0.00,0
10388,UNI-T Forro Cámara Termografica,OPTIMO,2.00,0.82,0.00,0.01,0.65,0.00,2.00,0
10387,UNI-T LM120A medidor de distancia laser 120mts,CRITICO,0.00,0.18,0.18,0.00,0.36,0.00,0.00,0
10386,HIKMICRO Pocket 2 Cámara Termográfica,OPTIMO,1.00,0.69,0.00,0.01,0.39,1.00,0.00,0
10383,UNI-T UT-M17 Batería de litio UTi730E,CRITICO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
10381,RV RV02BA Analizador de Interruptores,CRITICO,0.00,0.02,0.02,0.00,0.03,0.00,0.00,0
10380,UNI-T UTD1102C Osciloscopio Portatil 100MHZ,SOBRESTOCK,1.00,0.02,0.00,0.00,0.03,1.00,0.00,0
10378,UNI-T UTP1306 Fuente regulable 6A 1Ch,OPTIMO,4.00,1.73,0.00,0.02,1.47,3.00,1.00,0
10376,UNI-T LM600G Monocular,SOBRESTOCK,15.00,0.33,0.00,0.00,0.67,14.00,1.00,0
10375,UNI-T UT-B23 Tirante Imán para multimetros,CRITICO,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0
10373,UNI-T UT-L34 Puntas De Prueba 513-513A,CRITICO,0.00,0.92,0.92,0.00,1.84,0.00,0.00,0
10372,UNI-T UT117C Multimetro De alta precisión,SOBRESTOCK,5.00,0.28,0.00,0.00,0.56,4.00,1.00,0
10158,UNI-T UTx325 Monocular,CRITICO,0.00,0.15,0.15,0.00,0.31,0.00,0.00,0
10371,RV RV20DCR Medidor de Resistencia de Devanados,CRITICO,0.00,0.48,0.48,0.00,0.96,0.00,0.00,0
10369,UNI-T LM576LD Nivel Láser 16 L,SOBRESTOCK,22.00,4.12,0.00,0.03,4.24,21.00,1.00,0
10368,UNI-T Bolso para uso general,CRITICO,0.00,0.15,0.15,0.00,0.31,0.00,0.00,0
10367,RV BDV80KV RESISTENCIA DE ACEITE DIELECTRICO CHISMOMETRO,REORDER,1.00,1.02,0.02,0.01,1.03,1.00,0.00,0
10364,UNI-T UT387S Escaner de Pared multifuncion,CRITICO,0.00,0.17,0.17,0.00,0.33,0.00,0.00,0
10363,UNI-T UT715 Calibrador de Procesos (Bucles),SOBRESTOCK,4.00,1.00,0.00,0.00,2.00,4.00,0.00,0
10359,HIKMICRO AI56 Camara Acustica 64 Sensores,OPTIMO,1.00,0.68,0.00,0.01,0.37,1.00,0.00,0
10358,HIKMICRO AD21 Buscador de Fugas en tuberias,SOBRESTOCK,6.00,0.02,0.00,0.00,0.04,6.00,0.00,0
10357,HIKMICRO M11 Camara Termografica Larga Distancia,SOBRESTOCK,16.00,1.34,0.00,0.00,2.69,16.00,0.00,0
10356,HIKMICRO M11W Camara Termografica Profesional,OPTIMO,4.00,2.63,0.00,0.03,2.26,4.00,0.00,0
10355,HIKMICRO HMAHBR02 BASE AJUSTABLE,SOBRESTOCK,1.00,0.01,0.00,0.00,0.02,1.00,0.00,0
10354,HIKMICRO HM-P201-MACRO LENTE MACRO SERIE POCKET,OPTIMO,1.00,0.69,0.00,0.01,0.39,1.00,0.00,0
10353,HIKMICRO Pocket 1 Camara Termografica,CRITICO,0.00,0.07,0.07,0.00,0.13,0.00,0.00,0
10352,HIKMICRO HM-B201-MACRO LENTE MACRO SERIE B,CRITICO,0.00,0.14,0.14,0.00,0.29,0.00,0.00,0
10351,HIKMICRO HM-B01 Forro Estuche Cámara Termográfica,CRITICO,0.00,0.24,0.24,0.00,0.48,0.00,0.00,0
10350,HIKMICRO Pocket E Camara Termografica,SOBRESTOCK,28.00,0.18,0.00,0.00,0.36,27.00,1.00,0
10349,HIKMICRO Mini 2 Plus V2 Camara Termografica Android,OPTIMO,19.00,7.37,0.00,0.06,7.74,19.00,0.00,0
10348,HIKMICRO Mini 2 V2 Camara Android,OPTIMO,8.00,4.55,0.00,0.03,5.10,8.00,0.00,0
10347,HIKMICRO Eco V Camara Termografica,OPTIMO,159.00,53.03,0.00,0.47,49.06,158.00,1.00,0
10346,HIKMICRO B21L Cámara Termográfica,CRITICO,0.00,1.51,1.51,0.00,1.02,0.00,0.00,0
10345,HIKMICRO Eco Cámara termográfica,SOBRESTOCK,148.00,43.95,0.00,0.28,34.91,145.00,3.00,0
10342,UNI-T UTx318 Monocular,CRITICO,0.00,0.22,0.22,0.00,0.44,0.00,0.00,0
10341,UNI-T LM1000 Telemetro 1000m,OPTIMO,9.00,5.33,0.00,0.03,6.67,8.00,1.00,0
10339,UNI-T UT-C04A Cocodrilos grandes,SOBRESTOCK,134.00,9.22,0.00,0.05,12.44,121.00,13.00,0
10338,UNI-T UT-C05B Cocodrilos,REORDER,36.00,56.19,20.19,0.53,49.37,31.00,5.00,0
10337,UNI-T UT-L01 Puntas de Prueba SMD,SOBRESTOCK,85.00,3.58,0.00,0.02,5.16,82.00,3.00,0
10336,UNI-T UT219P Pinza de potencia,OPTIMO,1.00,0.49,0.00,0.00,0.98,1.00,0.00,0
10335,UNI-T LM60T Cinta métrica 2 en 1,OPTIMO,6.00,4.86,0.00,0.02,7.72,3.00,3.00,0
10332,UNI-T UTG932E Generador de señales,REORDER,2.00,7.35,5.35,0.07,6.70,2.00,0.00,0
10330,UNI-T Puntas Agujas de 10A para electronica,OPTIMO,13.00,5.43,0.00,0.01,9.87,10.00,3.00,0
10329,UNI-T UT658 Dual USB Tester,SOBRESTOCK,5.00,0.36,0.00,0.00,0.72,4.00,1.00,0
10323,Servicio - Curso de Termografia,CRITICO,-1.00,0.67,1.67,0.01,0.34,0.00,-1.00,0
10322,UNI-T UT363BT Anemómetro Bluetooth,OPTIMO,7.00,3.09,0.00,0.03,3.17,5.00,2.00,0
10320,UNI-T UT-L06 Puntas doble banana,OPTIMO,20.00,8.40,0.00,0.07,7.79,16.00,4.00,0
10319,UNI-T UT343E medidor de espesor,CRITICO,0.00,1.10,1.10,0.00,2.19,0.00,0.00,0
10317,UNI-T Cables  B-B con Caimanes,CRITICO,0.00,0.12,0.12,0.00,0.25,0.00,0.00,0
10315,UNI-T UT665 Boroscopio Digital,REORDER,3.00,4.02,1.02,0.03,4.04,1.00,2.00,0
10314,UNI-T UT T15 Sonda de temperatura,OPTIMO,13.00,4.90,0.00,0.03,6.80,12.00,1.00,0
10313,UNI-T UT-CS06A Pinza Adaptador para multimetro 600A,REORDER,2.00,3.40,1.40,0.03,3.81,2.00,0.00,0
10312,UNI-T UT-D07A adaptadores Bluetooth,CRITICO,0.00,0.02,0.02,0.00,0.04,0.00,0.00,0
10311,UNI-T UT107+ Multimetro automotriz,REORDER,5.00,12.00,7.00,0.09,13.00,2.00,3.00,0
10310,RV RV43A Medidor de Resistencia de Contactos 200A,CRITICO,0.00,0.28,0.28,0.00,0.57,0.00,0.00,0
10309,RV RV33T TTR Medidor de Relación de Transformación,OPTIMO,2.00,1.38,0.00,0.02,0.76,2.00,0.00,0
10307,UNI-T UTP1310 Fuente regulable 10A 1Ch,SOBRESTOCK,13.00,0.57,0.00,0.01,0.15,13.00,0.00,0
10305,UNI-T A63 2 in 1 Food Thermometer,SOBRESTOCK,6.00,0.89,0.00,0.01,0.77,3.00,3.00,0
10304,UNI-T UT675A Probador de Baterías Profesional,OPTIMO,9.00,4.39,0.00,0.03,5.77,7.00,2.00,0
10302,UNI-T UT892 Multimetro de Alto Voltaje,CRITICO,0.00,0.43,0.43,0.00,0.87,0.00,0.00,0
10301,JCD Caimanes 01 Par (Rojo y negro),SOBRESTOCK,873.00,10.36,0.00,0.10,8.72,785.00,88.00,0
10300,UNI-T UT682 Buscador de Cables,SOBRESTOCK,107.00,18.55,0.00,0.08,27.10,102.00,5.00,0
10299,UNI-T A12T Termohigrometro,SOBRESTOCK,165.00,22.12,0.00,0.12,29.25,157.00,8.00,0
10295,UNI-T Osciloscopio Doble canal UTD2202CEX+,OPTIMO,12.00,5.29,0.00,0.07,2.57,12.00,0.00,0
10294,UNI-T UT372D Tacómetro 2 en 1,SOBRESTOCK,31.00,7.50,0.00,0.06,8.00,29.00,2.00,0
10293,UNI-T UT8804E Multimetro de banco Benchtop,REORDER,2.00,3.90,1.90,0.03,3.80,2.00,0.00,0
10292,UNI-T UTP3305-II Fuente de poder conmutada de 3 canales,OPTIMO,3.00,2.59,0.00,0.03,2.18,3.00,0.00,0
10287,UNI-T UT315A Medidor de vibraciones,SOBRESTOCK,2.00,0.28,0.00,0.00,0.56,2.00,0.00,0
10286,UNI-T A61 Termómetro de Contacto,CRITICO,0.00,7.97,7.97,0.03,12.94,0.00,0.00,0
10281,UNI-T UT121B Multímetro Inteligente,CRITICO,0.00,12.00,12.00,0.08,14.00,0.00,0.00,0
10222,UNI-T  UT202BT Pinza Amperimetica BT,OPTIMO,11.00,4.78,0.00,0.03,5.56,9.00,2.00,0
10209,UNI-T UT211B PINZA AMPERIMÉTRICA,SOBRESTOCK,15.00,1.25,0.00,0.01,1.49,13.00,2.00,0
10196,UNI-T UT620A Micro Ohmimetro,OPTIMO,1.00,0.65,0.00,0.00,1.31,1.00,0.00,0
10147,UNI-T UT345A Medidor de espesor,REORDER,4.00,9.74,5.74,0.08,9.48,2.00,2.00,0
10128,UNI-T UT383BT Luxómetro Bluetooth,SOBRESTOCK,10.00,0.33,0.00,0.00,0.66,8.00,2.00,0
10093,UNI-T UTi32 Cámara termográfica 1000°C,CRITICO,0.00,0.79,0.79,0.00,1.58,0.00,0.00,0
10090,JCD UPC Conectores de fibra,CRITICO,0.00,17.14,17.14,0.09,23.28,0.00,0.00,0
10089,JCD APC Conectores de fibra,SOBRESTOCK,735.00,39.15,0.00,0.27,46.30,718.00,17.00,0
10074,UNI-T UT206A+ Pinza 1000A,OPTIMO,39.00,15.04,0.00,0.12,15.07,36.00,3.00,0
10068,UNI-T Z002 Lente Macro UTi260B,CRITICO,0.00,0.09,0.09,0.00,0.18,0.00,0.00,0
10050,UNI-T UTi120Mobile Cámara Termográfica,CRITICO,0.00,1.19,1.19,0.00,0.38,0.00,0.00,0
10038,UNI-T UT515A Megóhmetro 10kv,CRITICO,0.00,0.37,0.37,0.00,0.73,0.00,0.00,0
10032,UNI-T UT285C Analizador de energía trifásico (6Ka),REORDER,1.00,2.85,1.85,0.03,2.70,1.00,0.00,0
10006,UNI-T UT622E Analizador de componentes,OPTIMO,1.00,0.36,0.00,0.00,0.73,1.00,0.00,0
10285,UNI-T LM320B Medidor de Ángulo Digital,OPTIMO,10.00,8.85,0.00,0.01,16.70,7.00,3.00,0
10282,UNI-T LM570LD-II Nivel Láser,REORDER,3.00,6.79,3.79,0.06,6.58,2.00,1.00,0
10280,UNI-T UT890D+ Multímetro Profesional,SOBRESTOCK,30.00,7.75,0.00,0.04,10.50,28.00,2.00,0
10279,UNI-T UTP3303-II Fuente de poder conmutada de 3 canales,CRITICO,0.00,0.42,0.42,0.00,0.84,0.00,0.00,0
10275,UNI-T  UT533 Megóhmetro de mano,CRITICO,0.00,0.13,0.13,0.00,0.26,0.00,0.00,0
10274,UNI-T LM585LD Nivel Láser,SOBRESTOCK,17.00,2.16,0.00,0.01,3.32,16.00,1.00,0
10269,UNI-T UT693D medidor de potencia y VFL,CRITICO,0.00,0.09,0.09,0.00,0.17,0.00,0.00,0
10268,UNI-T UT216B Pinza Amperímetrica Profesional,CRITICO,0.00,0.11,0.11,0.00,0.22,0.00,0.00,0
10267,JCD Refractometro ALC.,SOBRESTOCK,6.00,0.28,0.00,0.00,0.56,2.00,4.00,0
10266,JCD Refractometro Sal.,SOBRESTOCK,2.00,0.14,0.00,0.00,0.27,1.00,1.00,0
10265,UNI-T LM70 Medidot de distancia láser de 70 metros,REORDER,5.00,11.92,6.92,0.07,15.84,3.00,2.00,0
10263,UNI-T UT333BT Termohigrometro Bluetooth,SOBRESTOCK,8.00,2.13,0.00,0.02,2.25,6.00,2.00,0
10262,UNI-T LM150 Telemetro laser de 150 metros,CRITICO,0.00,0.37,0.37,0.00,0.75,0.00,0.00,0
10259,UNI-T UT516B Megger 12KV,SOBRESTOCK,8.00,1.18,0.00,0.01,1.35,8.00,0.00,0
10258,UNI-T UT683KIT Rastreador de cables,CRITICO,0.00,0.11,0.11,0.00,0.22,0.00,0.00,0
10254,UNI-T UT-CS09D Sensor para Amperímetro Flexible,OPTIMO,2.00,1.07,0.00,0.01,1.15,2.00,0.00,0
10253,JCD Llave Allens,OPTIMO,8.00,2.78,0.00,0.00,5.55,0.00,8.00,0
98765,UNI-T UTi730E Camara Termografica,CRITICO,0.00,0.60,0.60,0.00,1.20,0.00,0.00,0
10252,UNI-T UTi712S Cámara Termográfica,OPTIMO,9.00,3.31,0.00,0.03,3.62,7.00,2.00,0
10251,UNI-T UT261B Secuencimetro,OPTIMO,7.00,6.15,0.00,0.06,5.30,6.00,1.00,0
10250,UNI-T UT-L17 Puntas de Prueba con Luz LED,OPTIMO,5.00,2.35,0.00,0.00,4.70,4.00,1.00,0
10249,UNI-T  UT-L31 Puntas de Prueba,CRITICO,0.00,0.24,0.24,0.00,0.48,0.00,0.00,0
10248,UNI-T UT505A Megohmetro/Multimetro 1000V 20Gohm,SOBRESTOCK,3.00,0.32,0.00,0.00,0.64,3.00,0.00,0
10246,Uni-T UT334A Detector de Radiación,SOBRESTOCK,1.00,0.02,0.00,0.00,0.04,1.00,0.00,0
10243,UNI-T Osciloscopio Doble canal UTD2102CEX+,SOBRESTOCK,9.00,0.91,0.00,0.01,0.82,9.00,0.00,0
10242,UNI-T UT262E Detector de secuencia de fases,SOBRESTOCK,10.00,2.62,0.00,0.03,1.24,8.00,2.00,0
10240,UNI-T  UT522 Medidor de aterramiento UNI-T,CRITICO,0.00,3.22,3.22,0.02,4.44,0.00,0.00,0
10236,UNI-T UTi120S Camara Termografica,CRITICO,0.00,1.41,1.41,0.00,2.82,0.00,0.00,0
10215,JCD Kit de Fibra Optica,CRITICO,0.00,14.95,14.95,0.05,23.90,0.00,0.00,0
10213,JCD Destornillador 25 Piezas milimétrico,OPTIMO,3.00,1.73,0.00,0.01,2.46,2.00,1.00,0
10212,UNI-T UT353 Decibelimetro - Sonometro,OPTIMO,17.00,7.29,0.00,0.05,8.58,13.00,4.00,0
10211,UNI-T UT513A MEGÓHMETRO 5KV,REORDER,7.00,10.36,3.36,0.07,11.73,7.00,0.00,0
10208,UNI-T UT25A Buscador de breakers,SOBRESTOCK,129.00,28.70,0.00,0.21,32.39,126.00,3.00,0
10205,UNI-T UT320D termómetro de contacto,OPTIMO,20.00,8.40,0.00,0.08,6.79,15.00,5.00,0
10204,UNI-T UT278A+ Earth Clamp Tester,CRITICO,0.00,11.30,11.30,0.09,11.61,0.00,0.00,0
10203,UNI-T  UT306C Termómetro infrarrojo,SOBRESTOCK,202.00,42.92,0.00,0.30,49.85,197.00,5.00,0
10201,UNI-T LM50A Medidor de distancia láser de 50 metros,REORDER,17.00,20.23,3.23,0.17,20.45,14.00,3.00,0
10198,UNI-T UT136C+ Multimetro digital,REORDER,1.00,8.83,7.83,0.07,8.66,1.00,0.00,0
10195,UNI-T UT373 Tacómetro,OPTIMO,16.00,6.23,0.00,0.05,6.46,12.00,4.00,0
10194,UNI-T UT302D+ Termómetro 1100°C,SOBRESTOCK,39.00,6.28,0.00,0.06,5.56,36.00,3.00,0
10192,UNI-T UTi260B Cámara Termográfica,SOBRESTOCK,43.00,10.09,0.00,0.07,12.18,43.00,0.00,0
10190,UNI-T UT383 Luxometro,REORDER,7.00,9.01,2.01,0.07,10.02,5.00,2.00,0
10186,SIGNAL FIRE  Empalmadora de fibra optica AI9,CRITICO,0.00,0.29,0.29,0.00,0.58,0.00,0.00,0
10140,JCD Pinza Antiestarica Recta,SOBRESTOCK,37.00,2.00,0.00,0.02,0.00,20.00,17.00,0
10102,JCD Manto Térmico Negro Small,OPTIMO,3.00,1.00,0.00,0.01,0.00,3.00,0.00,0
10072,JCD Tie Wrap 20cm 250pcs,SOBRESTOCK,1.00,0.14,0.00,0.00,0.29,0.00,1.00,0
10054,JCD Tie Wrap 40cm paquete 250pcs,SOBRESTOCK,1.00,0.03,0.00,0.00,0.06,0.00,1.00,0
10141,Servicio Apartado Cámara Termográfica,CRITICO,0.00,0.16,0.16,0.00,0.31,0.00,0.00,0
10125,JCD Cautin Digital Regulable 80w 908U,SOBRESTOCK,169.00,29.69,0.00,0.26,28.37,162.00,7.00,0
10124,UNI-T UT681L Probador de cables de red,SOBRESTOCK,71.00,6.68,0.00,0.05,7.35,66.00,5.00,0
10115,UNI-T LM100A Medidor de Distancia,CRITICO,0.00,3.13,3.13,0.00,6.26,0.00,0.00,0
10113,UNI-T UT61E+ Multímetro Digital USB,SOBRESTOCK,21.00,4.26,0.00,0.04,3.52,18.00,3.00,0
10112,UNI-T UT61D+ Multímetro Digital USB,CRITICO,0.00,0.03,0.03,0.00,0.05,0.00,0.00,0
10111,UNI-T UT208B+ Pinza Amperimétrica 1000 A,SOBRESTOCK,62.00,20.61,0.00,0.14,24.23,60.00,2.00,0
10110,UNI-T UT181A Multímetro Registrador de Datos,SOBRESTOCK,14.00,1.64,0.00,0.00,3.29,14.00,0.00,0
10107,UNI-T UT219DS pinza amperimétrica,OPTIMO,9.00,3.77,0.00,0.01,6.54,8.00,1.00,0
10106,UNI-T UT682D buscador de cables,SOBRESTOCK,153.00,17.42,0.00,0.12,20.84,149.00,4.00,0
10123,UNI-T UT-L21 Puntas de prueba de 20A,SOBRESTOCK,357.00,20.28,0.00,0.19,17.57,349.00,8.00,0
10122,UNI-T UT123D Multimetro de Bolsillo Inteligente,CRITICO,0.00,1.74,1.74,0.02,1.47,0.00,0.00,0
10120,UNI-T UT60BT Multimetro Profesional Bluetooth,SOBRESTOCK,5.00,0.47,0.00,0.00,0.94,4.00,1.00,0
10119,UNI-T UT60S Multimetro Profesional Automatico,SOBRESTOCK,5.00,0.29,0.00,0.00,0.59,4.00,1.00,0
